일시,가격
2012-02-28,1611
2012-02-29,1540
2012-03-01,1540
2012-03-02,1394
2012-03-03,1394
2012-03-04,1394
2012-03-05,1394
2012-03-06,1394
2012-03-07,1394
2012-03-08,1587
2012-03-09,1587
2012-03-10,1587
2012-03-11,1587
2012-03-12,1630
2012-03-13,1630
2012-03-14,1630
2012-03-15,1486
2012-03-16,1486
2012-03-17,1486
2012-03-18,1486
2012-03-19,1587
2012-03-20,1566
2012-03-21,1637
2012-03-22,1701
2012-03-23,1611
2012-03-24,1611
2012-03-25,1611
2012-03-26,1593
2012-03-27,1664
2012-03-28,1607
2012-03-29,1569
2012-03-30,1569
2012-03-31,1569
2012-04-01,1569
2012-04-02,1583
2012-04-03,1569
2012-04-04,1626
2012-04-05,1447
2012-04-06,1447
2012-04-07,1447
2012-04-08,1447
2012-04-09,1390
2012-04-10,1390
2012-04-11,1390
2012-04-12,1529
2012-04-13,1529
2012-04-14,1529
2012-04-15,1529
2012-04-16,1554
2012-04-17,1554
2012-04-18,1611
2012-04-19,1654
2012-04-20,1650
2012-04-21,1650
2012-04-22,1650
2012-04-23,1593
2012-04-24,1593
2012-04-25,1626
2012-04-26,1587
2012-04-27,1587
2012-04-28,1587
2012-04-29,1587
2012-04-30,1554
2012-05-01,1554
2012-05-02,1526
2012-05-03,1564
2012-05-04,1564
2012-05-05,1564
2012-05-06,1564
2012-05-07,1564
2012-05-08,1564
2012-05-09,1650
2012-05-10,1549
2012-05-11,1549
2012-05-12,1549
2012-05-13,1549
2012-05-14,1606
2012-05-15,1563
2012-05-16,1563
2012-05-17,1630
2012-05-18,1601
2012-05-19,1601
2012-05-20,1601
2012-05-21,1597
2012-05-22,1679
2012-05-23,1650
2012-05-24,1731
2012-05-25,1731
2012-05-26,1731
2012-05-27,1731
2012-05-28,1731
2012-05-29,1821
2012-05-30,1850
2012-05-31,1883
2012-06-01,1860
2012-06-02,1860
2012-06-03,1860
2012-06-04,1921
2012-06-05,1874
2012-06-06,1874
2012-06-07,1817
2012-06-08,1817
2012-06-09,1817
2012-06-10,1817
2012-06-11,1874
2012-06-12,1874
2012-06-13,1874
2012-06-14,1826
2012-06-15,1826
2012-06-16,1826
2012-06-17,1826
2012-06-18,1850
2012-06-19,1850
2012-06-20,1850
2012-06-21,1950
2012-06-22,1950
2012-06-23,1950
2012-06-24,1950
2012-06-25,1979
2012-06-26,1943
2012-06-27,1910
2012-06-28,1886
2012-06-29,1886
2012-06-30,1886
2012-07-01,1886
2012-07-02,1869
2012-07-03,1869
2012-07-04,1869
2012-07-05,1893
2012-07-06,1893
2012-07-07,1893
2012-07-08,1893
2012-07-09,1836
2012-07-10,1917
2012-07-11,1804
2012-07-12,1804
2012-07-13,1804
2012-07-14,1804
2012-07-15,1804
2012-07-16,1860
2012-07-17,1860
2012-07-18,1860
2012-07-19,1860
2012-07-20,1860
2012-07-21,1860
2012-07-22,1860
2012-07-23,1843
2012-07-24,1833
2012-07-25,1833
2012-07-26,1741
2012-07-27,1741
2012-07-28,1741
2012-07-29,1741
2012-07-30,1741
2012-07-31,1741
2012-08-01,1703
2012-08-02,1641
2012-08-03,1641
2012-08-04,1641
2012-08-05,1641
2012-08-06,1611
2012-08-07,1640
2012-08-08,1626
2012-08-09,1679
2012-08-10,1679
2012-08-11,1679
2012-08-12,1679
2012-08-13,1684
2012-08-14,1684
2012-08-15,1684
2012-08-16,1660
2012-08-17,1660
2012-08-18,1660
2012-08-19,1660
2012-08-20,1703
2012-08-21,1711
2012-08-22,1683
2012-08-23,1734
2012-08-24,1734
2012-08-25,1734
2012-08-26,1734
2012-08-27,1703
2012-08-28,1703
2012-08-29,1681
2012-08-30,1749
2012-08-31,1749
2012-09-01,1749
2012-09-02,1749
2012-09-03,1749
2012-09-04,1749
2012-09-05,1807
2012-09-06,1789
2012-09-07,1779
2012-09-08,1779
2012-09-09,1779
2012-09-10,1779
2012-09-11,1779
2012-09-12,1770
2012-09-13,1759
2012-09-14,1759
2012-09-15,1759
2012-09-16,1759
2012-09-17,1744
2012-09-18,1744
2012-09-19,1744
2012-09-20,1631
2012-09-21,1617
2012-09-22,1617
2012-09-23,1617
2012-09-24,1559
2012-09-25,1559
2012-09-26,1559
2012-09-27,1550
2012-09-28,1550
2012-09-29,1550
2012-09-30,1550
2012-10-01,1550
2012-10-02,1521
2012-10-03,1521
2012-10-04,1564
2012-10-05,1564
2012-10-06,1564
2012-10-07,1564
2012-10-08,1507
2012-10-09,1489
2012-10-10,1484
2012-10-11,1460
2012-10-12,1474
2012-10-13,1474
2012-10-14,1474
2012-10-15,1431
2012-10-16,1446
2012-10-17,1446
2012-10-18,1403
2012-10-19,1403
2012-10-20,1403
2012-10-21,1403
2012-10-22,1394
2012-10-23,1394
2012-10-24,1387
2012-10-25,1061
2012-10-26,1060
2012-10-27,1060
2012-10-28,1060
2012-10-29,1060
2012-10-30,1057
2012-10-31,1057
2012-11-01,1327
2012-11-02,1331
2012-11-03,1331
2012-11-04,1331
2012-11-05,1353
2012-11-06,1339
2012-11-07,1339
2012-11-08,1321
2012-11-09,1321
2012-11-10,1321
2012-11-11,1321
2012-11-12,1321
2012-11-13,1321
2012-11-14,1279
2012-11-15,1317
2012-11-16,1303
2012-11-17,1303
2012-11-18,1303
2012-11-19,1346
2012-11-20,1346
2012-11-21,1346
2012-11-22,1421
2012-11-23,1421
2012-11-24,1421
2012-11-25,1421
2012-11-26,1450
2012-11-27,1436
2012-11-28,1464
2012-11-29,1407
2012-11-30,1407
2012-12-01,1407
2012-12-02,1407
2012-12-03,1379
2012-12-04,1379
2012-12-05,1379
2012-12-06,1411
2012-12-07,1426
2012-12-08,1426
2012-12-09,1426
2012-12-10,1469
2012-12-11,1469
2012-12-12,1511
2012-12-13,1453
2012-12-14,1453
2012-12-15,1453
2012-12-16,1453
2012-12-17,1421
2012-12-18,1421
2012-12-19,1421
2012-12-20,1379
2012-12-21,1421
2012-12-22,1421
2012-12-23,1421
2012-12-24,1336
2012-12-25,1336
2012-12-26,1336
2012-12-27,1524
2012-12-28,1503
2012-12-29,1503
2012-12-30,1503
2012-12-31,1524
2013-01-01,1524
2013-01-02,1490
2013-01-03,1511
2013-01-04,1440
2013-01-05,1440
2013-01-06,1440
2013-01-07,1440
2013-01-08,1440
2013-01-09,1440
2013-01-10,1346
2013-01-11,1317
2013-01-12,1317
2013-01-13,1317
2013-01-14,1374
2013-01-15,1374
2013-01-16,1366
2013-01-17,1446
2013-01-18,1446
2013-01-19,1446
2013-01-20,1446
2013-01-21,1459
2013-01-22,1459
2013-01-23,1459
2013-01-24,1363
2013-01-25,1337
2013-01-26,1337
2013-01-27,1337
2013-01-28,1294
2013-01-29,1294
2013-01-30,1234
2013-01-31,1313
2013-02-01,1313
2013-02-02,1313
2013-02-03,1313
2013-02-04,1381
2013-02-05,1367
2013-02-06,1367
2013-02-07,1329
2013-02-08,1339
2013-02-09,1339
2013-02-10,1339
2013-02-11,1339
2013-02-12,1367
2013-02-13,1319
2013-02-14,1319
2013-02-15,1317
2013-02-16,1317
2013-02-17,1317
2013-02-18,1331
2013-02-19,1317
2013-02-20,1261
2013-02-21,1317
2013-02-22,1346
2013-02-23,1346
2013-02-24,1346
2013-02-25,1346
2013-02-26,1346
2013-02-27,1217
2013-02-28,1129
2013-03-01,1129
2013-03-02,1129
2013-03-03,1129
2013-03-04,1139
2013-03-05,1139
2013-03-06,1210
2013-03-07,1287
2013-03-08,1317
2013-03-09,1317
2013-03-10,1317
2013-03-11,1360
2013-03-12,1360
2013-03-13,1317
2013-03-14,1317
2013-03-15,1317
2013-03-16,1317
2013-03-17,1317
2013-03-18,1234
2013-03-19,1191
2013-03-20,1234
2013-03-21,1180
2013-03-22,1180
2013-03-23,1180
2013-03-24,1180
2013-03-25,1166
2013-03-26,1166
2013-03-27,1123
2013-03-28,1290
2013-03-29,1290
2013-03-30,1290
2013-03-31,1290
2013-04-01,1359
2013-04-02,1307
2013-04-03,1307
2013-04-04,1403
2013-04-05,1410
2013-04-06,1410
2013-04-07,1410
2013-04-08,1437
2013-04-09,1437
